Legs

Seated Leg Press	6-10, 12-15 Reps
10/22/25	
225	10
225	10
225	10
11/5/25	
180	10
180	10
180	10
12/18/25	
180	10
180	10
180	10
12/24/25	
180	11
180	11
180	11
1/1/26	
180	12
180	12
180	12
1/7/26	
180	15
180	15
180	12
1/16/26	
190	8
190	8
190	8
1/21/26	
190	12
190	12
190	12
1/28/26	
190	15
200	15
200	15
2/4/26	
200	15
205	12
205	12
2/11/26	
205	12
205	12
205	12
2/19/26	
205	15
205	13
205	13
2/25/26	
215	12
215	12
215	8

Rom. Deadlift	8-12 Reps
12/18/25	
50	10
50	10
50	10   
12/24/25	
50	12
50	12
50	12
1/1/26	
50	12
50	12
50	12
1/7/26	
50	13
50	13
50	13
1/16/26	
50	14
50	14
50	14
1/21/26	
55	12
55	12
55	12
1/28/26	
55	12
55	12
55	12
2/4/25	
55	12
55	12
55	12
2/11/26	
60	10
60	10
60	10
2/19/26	
60	12
60	12
60	12
2/25/26	
65	8
60	12
65	12

DB Rev. Lunge	12-15 Reps
10/22/25	
35	10
35	10
35	10
11/5/25	
35	10
40	10
40	10
12/18/25	
30	10
30	10
30	10
12/24/25	
30	12
30	12
30	12
1/1/26	
30	15
30	15
30	12
1/7/26	
32.5	12
32.5	10
32.5	10
1/16/26	
32.5	12
32.5	12
32.5	12
1/21/26	
35	9
35	9
35	9
1/28/26	
35	12
35	12
35	12
2/4/26	
37.5	10
37.5	10
37.5	10
2/11/26	
37.5	12
37.5	10
37.5	10
2/19/26	
37.5	11.
37.5	10
37.5	10
2/25/26	
40	10
40	10
40	10

Seated Calf	12-15 Reps
12/18/25	
60	10
60	8
60	8.
12/24/25	
60	10
60	10
60	8
1/1/26	
60	10
60	10
60	10
1/7/26	
60	10
60	10
60	10
1/16/26	
60	10
60	11
60	11
1/21/26	
60	12
60	12
60	12
1/28/26	
65	10
65	10
65	10
2/4/26	
65	10
65	10
65	10
2/11/26	
65	11
65	11
65	10
2/19/26	
60	12
60	12
60	12
2/25/25	
65	12
65	11
65	10

Leg Curl	12-15 Reps
10/22/25	
115	8
115	8
115	8
11/5/25	
115	10
100	10
100	10
12/18/25	
85	12
85	12
85	12
12/24/25	
85	12
85	12
85	12
1/1/26	
85	15
85	15
85	10
1/7/26	
85	15
90	10
90	10
1/16/26	
90	15
90	12
90	10
1/21/26	
90	15
90	12
90	10
1/28/26	
90	15
90	14
90	12
2/4/26	
95	10
95	10
95	10
2/11/26	
95	12
95	11
95	10
2/19/26	
95	13
95	12
95	12
2/25/26	
95	14
95	14
95	9


