Pull

Lateral Pulldown	12-15 Reps
10/15/25	
125	8
125	8
125	8
10/21/25	
125	12
125	12
125	12
10/28/25	
125	12
125	12
125	12
11/4/25	
125	15
130	8
130	8
11/11/25	
130	9
130	10
130	8
12/11/25	
120	9
120	8
120	8
12/16/25	
120	10
120	8
120	8
12/23/25	
120	12
120	8
120	8.
12/31/25	
120	15
120	12
120	12.
1/6/26	
120	12
120	12
120	12
1/13/26	
120	14
120	12.
120	12.
1/20/26	
120	12
120	12.
120	12.
1/27/26	
120	12
120	12.
120	12.
2/5/26	
120	15
120	13
120	12.
2/10/26	
125	10
125	10
125	8
2/17/26	
125	10
120	10
120	10.
2/24/26	
125	15
125	12
130	9

Cable Row	8-12 Reps
10/15/25	
160	10
170	8
120	13
10/21/25	
140	13
150	8
150	8
10/28/25	
150	10
150	8
150	8
11/4/25	
140	8
140	8
140	8
12/11/25	
120	10
120	10
120	10
12/16/25	
120	15
130	12
130	9
12/23/25	
130	12
130	12
130	12.
12/31/25	
120	12
120	12
120	12
1/6/26	
130	15
130	13
130	12
1/13/26	
130	15
130	13
130	12.
1/20/26	
130	15
130	15
130	15
1/27/26	
130	15
140	8
140	8
2/5/26	
140	8
140	8
140	8
2/10/26	
140	12
140	10
140	9
2/17/26	
140	13
140	12
140	9
2/24/26	
145	8
140	9
140	8

Alt Bicep Curl	8-12 Reps
10/15/25	
40	8
40	8
40	6
10/21/25	
40	9
40	9
40	9
10/28/25	
40	10
40	10.
40	9.
11/4/25	
40	10
40	10.
40	10.
11/11/25	
40	10.
40	10.
40	10.
12/11/25	
35	10
35	8
35	8
12/16/25	
35	8
35	8
35	8
12/23/25	
35	9
35	9
35	8
12/31/25	
35	9
35	8
35	8.
1/6/26	
35	11
35	9
35	8.
1/13/26	
35	12
35	12
35	12
1/20/26	
37.5	8
35	13
37.5	7
1/27/26	Right wrist sprain
20	15
20	15
20	15
2/5/26	No twists
30	8
25	15
25	15.
2/10/26	No twists
25	15
25	15
27.5	12
2/17/26	
30	13
30	12
25	15.
2/24/26	
30	12
30	12
30	12

Bnch Dumbbell Pull	8-12 Reps
10/15/25	
75	12
75	12
75	12
10/21/25	
75	12
75	12
75	12
10/28/25	
75	12
75	12
75	13
11/4/25	
60	15
60	15
60	15
11/11/25	
60	15
60	15
60	15
12/11/25	
50	15
50	15
50	13
12/16/25	
55	15
55	15
55	15
12/23/25	
60	8
60	8
60	8
12/31/25	
60	10
60	12
60	12
1/6/26	
60	15
60	14
60	12
1/13/26	
60	15
60	14
60	12
1/20/26	
65	8
65	8
65	8
1/27/26	
65	10
65	10
65	10
2/5/26	
65	13
65	12
65	11
2/10/26	
70	8
70	8
70	9
2/17/26	
70	12
70	12
70	12
2/24/26	
75	8
70	11
70	10

Rope Bicep Curl	12-15 Reps
10/15/25	
57.5	12
57.5	12
57.5	12
10/21/25	
57.5	12
57.5	12
57.5	12
10/28/25	
57.5	12
62.5	8
62.5	8
11/4/25	
62.5	8
62.5	10
62.5	10.
11/11/25	
62.5	10
62.5	10
62.5	10
12/11/25	
55	10
50	8
50	8
12/16/25	
50	8
50	8
50	8
12/23/25	
50	9
50	8
50	7..
12/31/25	
50	12
50	9
50	9.
1/6/26	
50	9
50	9..
50	9..
1/13/26	
50	12
50	9
50	9.
1/20/26	
50	12
50	10
50	10.
1/27/26	Right wrist sprain
35	15
35	15
35	15.
2/5/26	
42.5	12
42.5	12.
42.5	12.
2/10/26	
50	10
50	10
50	10.
2/17/26	
50	10
50	10.
42.5	15.
2/24/26	
50	12
50	12
50	12
