Push

Incline DB Press	8-12 Reps
10/20/25	
50	12
55	9
60	6
10/27/25	
55	7
55	7
50	10
11/3/25	
55	8
55	8
50	10
11/10/25	
50	12
50	12
50	10
12/8/25	
40	12
40	12
40	12
12/15/25	
45	10
45	10
45	8
12/22/25	
45	10
45	10
45	8
12/30/25	
45	12
45	10
45	9
1/5/26	
45	14
45	12
45	11
1/12/26	
45	15
45	13
45	12
1/19/26	
50	9
50	9
50	8
1/26/26	Right wrist sprain
45	15
45	15.
45	10
2/2/26	
50	12
50	12
50	10
2/9/26	
50	12
50	12.
40	10.
2/16/26	
50	13
50	12.
50	12
2/23/26	Did later in workout
50	11
50	10
50	6

Chest Press Mach.	8-12 Reps
10/20/25	
115	5
105	6.
95	12.
10/27/25	
100	10
100	10
100	10
11/3/25	
100	8
100	10.
100	8
11/10/25	
100	8
90	8
85	10
12/8/25	
75	12
75	12
75	12
12/15/25	
80	8
75	12
75	8
12/22/25	
75	12
80	12
80	8
12/30/25	
80	12
80	12
80	12.
1/5/26	
80	13
80	12
80	11
1/12/26	
80	13.
80	12.
80	10.
1/19/26	
80	15
80	15
80	15.
1/26/26	Right wrist sprain
80	14
80	14.
80	10.
2/2/26	
80	14
80	13
80	10
2/9/26	
80	15
80	13.
80	10.
2/16/26	
80	15
80	12.
80	10.
2/23/26	
80	15
80	15
80	12..

Cable Chest Fly	8-12 Reps
10/15/25	
27	12.
27	12.
27	12.
10/27/25	
27	12
27	12.
27	12.
11/3/25	
27	13
27	12
27	12
11/10/25	
30	6
27	13
27	12
12/8/25	
23	8
20	10
20	10
12/15/25	
20	12
23	12
23	12
12/22/25	
23	12
23	12
23	12.
12/30/25	
23	12
23	12
23	12
1/5/26	
23	15
23	12
23	12
1/12/26	
27	11
27	10
27	8
1/19/26	
27	12
27	10.
27	10.
1/26/26	Right wrist sprain
27	13
27	10
27	10
2/2/26	
27	15
27	12
27	12
2/9/26	
27	15
27	15
27	15
2/16/26	
30	8
30	8
30	8
2/23/26	
30	9
30	8
30	8

Lateral Raises**	8-12 Reps
10/20/25	
22.5	11
22.5	8
22.5	8
10/27/25	
22.5	10
22.5	10
22.5	10
11/3/25	
22.5	10
22.5	10.
22.5	10.
11/10/25	
22.5	11
22.5	10
22.5	10
12/8/25	
20	10
20	10
20	10
12/15/25	
22.5	10
22.5	10
22.5	8
12/22/25	
22.5	8.
22.5	8
22.5	8
12/30/25	
22.5	10
22.5	10.
22.5	8.
1/5/26	
22.5	10
22.5	10.
22.5	8
1/12/26	
22.5	10
22.5	10.
22.5	10.
1/19/26	
22.5	10
22.5	10
22.5	10.
1/26/26	Right wrist sprain
17.5	15
17.5	15
17.5	15
2/2/26	
17.5	15
17.5	15
17.5	15
2/9/26	
20	12
20	12
20	12
2/16/26	
20	13
20	12.
20	12.
2/23/26	
20	15
20	13
20	12

Tricep Cable Pulldown (Rope)	12-15 Reps
10/20/25	
57.5	12
57.5	12.
57.5	12.
10/27/25	
57.5	12
57.5	12
57.5	12
11/3/25	
57.5	12
57.5	12
57.5	12
11/10/25	
57.5	12
57.5	12
57.5	12
12/8/25	
47.5	12
47.5	12
47.5	12
12/15/25	
47.5	12
47.5	12
47.5	12
12/22/25	
47.5	12
47.5	12
47.5	12
12/30/25	
47.5	15
47.5	15.
47.5	15.
1/5/26	
50	10
50	10
50	10
1/12/26	
50	12
50	12
50	12
1/19/26 - change to rope	
35	10
35	10
35	10
1/26/26	Right wrist sprain
35	15
42.5	8
42.5	8
2/2/26	
42.5	9
42.5	11
42.5	11
2/9/26	
42.5	12
42.5	11.
42.5	11.
2/16/26	
42.5	15
42.5	15
42.5	12
2/23/26	
42.5	13
42.5	12.
42.5	12..

