Shoulders / Arms

Seat Shlder Press	6-10 / 12-15 Reps
10/16/25	
45	12
50	8
40	12
10/24/25	
40	12
45	10
45	8
10/30/25	
45	12
45	10
45	8
11/7/25	
45	12
45	10
45	8
12/26/25	
35	12
35	12
35	13
1/2/26	
35	15
35	15
35	12
1/8/26	
40	13
40	10
40	10
1/23/26 - apt	
40	13
40	10
40	10
1/29/26	
40	13
40	13
40	10
2/3/26 - apt	
40	13.
40	13.
40	13.
2/12/26	
40	14
40	13.
40	13.
2/20/26	
40	15
40	15
40	14.
2/26/26	
45	11
45	8
45	8
?	TBD
45	11-12
45	9-10
45	8-9

Lateral Raises**	8-12 Reps
10/16/25	
22.5	8
22.5	10
22.5	10
10/24/25	
22.5	9
22.5	8
22.5	8
10/30/25	
22.5	10
22.5	10
22.5	10
11/7/25	
22.5	10
22.5	10
22.5	10
12/26/25	
22.5	8
22.5	8
22.5	8.
1/2/26	
22.5	10.
22.5	10..
22.5	8
1/8/26	
22.5	10.
22.5	10.
22.5	8
1/23/26 - apt	
20	12
20	12
20	12
1/29/26	
17.5	15
17.5	15
17.5	15.
2/3/26 - apt	
15	15
15	16
15	16
2/12/26	
20	15
20	15
20	15.
2/20/26	
20	15.
20	15.
20	15.
2/26/26	
22.5	10
22.5	10
22.5	10

Reverse cable fly
2/20/26
23/15
23/13
23/12
2/26/26
23/15
23/11
23/11

Cable Bicep Curl	12-15 Reps
10/16/25	
62.5	12
65	8
65	8
10/24/25	
65	9
65	9
65	9
10/30/25	
65	9
65	10
65	10
11/7/25	
65	10
65	10
65	10
12/26/25	
60	12
60	12
60	10.
1/2/26	
60	12
60	12
60	12
1/8/26	
60	13
60	13
60	13.
1/23/26 - apt	
60	13
60	13
60	13
2/3/26 - apt	
84	12
84	12
84	12
2/12/26	
60	14
60	12.
60	12.
2/20/26	
60	15
60	15
60	12
2/26/26	
65	8
65	8
65	8

Tricep Overhead Ext.	12-15 Reps
10/15/25	
57.5	9
57.5	9
57.5	9
10/24/25	
57.5	12
57.5	12
57.5	12
10/30/25	
57.5	13
57.5	12.
57.5	12.
11/7/25	
62.5	10
62.5	10
62.5	8
12/26/25	
42.5	12
47.5	10
47.5	8
1/2/26	
47.5	15
47.5	15
47.5	15
1/8/26	
50	9
50	10
50	11
1/23/26 - apt	
60	14
60	14
60	14
1/29/26	
60	10
55	9
60	8
2/3/26 - apt	
72	13
72	13
72	12
2/12/26	
60	8
60	9
60	9
2/20/26	
50	10
50	8
50	7
2/26/26	Fix form (y shape)
35	8
35	8
35	

